IdTransaksi,IdPelanggan,Date,NamaPelanggan,Kota,Status,JenisKelamin,IdProduk ,NamaProduk,Harga,Qty,Pajak,Total,Pembayaran,Rating
10107,17850,01/05/2019,Corporate Gift Ideas Co.,Yangon,Member,Female,2627483,Health and beauty,74.69,7,261.415,5.489.715,Ewallet,9.1
10121,17851,03/08/2019,,Naypyitaw,Normal,Female,2361688,Electronic accessories,15.28,5,3.82,80.22,Cash,9.6
10134,17852,03/03/2019,Lyon Souveniers,Yangon,Normal,Male,1286255,Home and lifestyle,46.33,7,162.155,3.405.255,Credit card,7.4
10145,17853,1/27/2019,Toys4GrownUps.com,Yangon,Member,Male,,Home and lifestyle,58.22,8,23.288,489.048,Ewallet,8.4
10159,17854,02/08/2019,Corporate Gift Ideas Co.,Yangon,Normal,Male,4812562,Sports and travel,86.31,7,302.085,6.343.785,Ewallet,5.3
10168,17855,3/25/2019,Technics Stores Inc.,Naypyitaw,Normal,Male,1781201,Electronic accessories,85.39,7,298.865,6.276.165,Ewallet,4.1
10180,17856,2/25/2019,Daedalus Designs Imports,Yangon,Member,Female,4865140,Electronic accessories,68.84,6,20.652,433.692,Ewallet,5.8
10188,17857,2/24/2019,Herkku Gifts,Naypyitaw,Normal,Female,3563149,Home and lifestyle,73.56,10,36.78,772.38,Ewallet,8
10201,17858,01/10/2019,Mini Wheels Co.,Yangon,Member,Female,3519786,Health and beauty,36.26,2,3.626,76.146,Credit card,7.2
10211,17859,2/20/2019,Auto Canal Petit,Mandalay,Member,Female,8323411,Food and beverages,54.84,3,8.226,172.746,Credit card,5.9
10223,17860,02/06/2019,Australian Collectors, Co.,Mandalay,Member,Female,2929021,Fashion accessories,14.48,4,2.896,60.816,Ewallet,4.5
10237,17861,03/09/2019,Vitachrome Inc.,Mandalay,Member,Male,8385455,Electronic accessories,25.51,4,5.102,107.142,Cash,6.8
10251,17862,02/12/2019,Tekni Collectables Inc.,Yangon,Normal,Female,7674679,Electronic accessories,46.95,5,117.375,2.464.875,Ewallet,7.1
10263,17863,02/07/2019,Gift Depot Inc.,Yangon,Normal,Male,3225862,Food and beverages,43.19,10,21.595,453.495,Ewallet,8.2
10275,17864,3/29/2019,La Rochelle Gifts,Yangon,Normal,Female,5215669,Health and beauty,71.38,10,35.69,749.49,Cash,5.7
10285,17865,1/15/2019,Marta's Replicas Co.,Mandalay,Member,Female,4349269,Sports and travel,93.72,6,28.116,590.436,Cash,4.5
10299,17866,03/11/2019,Toys of Finland, Co.,,Member,Female,3406866,Health and beauty,68.93,7,241.255,5.066.355,Credit card,4.6
